# Reference: https://www.itu.int/dms_pub/itu-t/oth/02/02/T02020000E70002PDFE.pdf
# Reference Date: 27/02/2013
G|1|Sana'a|200000-699999,810000-829999,7500000-7599999|
G|2|Aden|200000-399999,820000-829999,840000-840999|
G|2|Lahj|500000-599999,850000-859999|
G|2|Abyan|600000-699999,860000-869999|
G|2|Dhale'a|400000-499999,841000-842999|
G|3|Hodaidah|200000-399999,500000-509999,830000-839999,850000-859999|
G|4|Taiz|200000-399999,830000-839999,840000-843999|
G|4|Ibb|330000-339999,400000-599999,840000-859999|
G|5|Shabwah|200000-299999|
G|5|Hadhrmout|300000-599999|
G|5|Al Mahrah|600000-659999,670000-679999|
G|5|Soqatrah|660000-669999|
G|6|Ma'areb|300000-309999,330000-339999,360000-369999,380000-389999,830000-839999,863000-863999|
G|6|Aljawf|340000-349999|
G|6|Dhamar|390000-399999,400000-499999,500000-519999,820000-829999,840000-849999,861000-861999,864000-867999|
G|6|Al Baidha|520000-579999,850000-850999,853000-853999,860000-860999,862000-862999,868000-869999|
G|7|Amran|600000-699999,860000-869999,876000-877999|
G|7|Sa'adah|500000-599999,850000-859999,875000-875999,878000-878999|
G|7|Al Mahweet|400000-499999,845000-845999,874000-874999,879000-879999|
G|7|Hajjah|200000-299999,870000-873999|
M|70-71,73,77||0000000-9999999|
